Mouse ID,Embedding
Day 9_Y8-1-R.png,"[-0.31022808,  3.4667573 , -1.8721304 ,  3.0290895 ,  2.4634209 ,
  0.15551469, -1.143817  , -0.43734786, -3.2388241 , -1.6085958 ,
  2.3180718 ,  1.3884681 , -2.7505622 , -0.09917021, -3.1242573 ,
  0.36020726]"
Day 8_A8-5-L.png,"[-1.4059725e+00,  2.0016108e+00, -1.2170747e-03,  5.7794923e-01,
  1.9598732e+00,  2.3858891e-01, -3.4542638e-01,  6.9148821e-01,
 -2.1825941e+00, -1.8516508e+00,  1.8998165e+00,  2.2125760e-01,
 -9.6733922e-01, -1.1556907e-01, -1.2046801e+00,  8.8907570e-01]"
Day 3_A8-5-R.png,"[-1.065     , -2.5925565 ,  2.2962003 , -4.195129  ,  0.0817587 ,
  0.50213087,  1.2017306 ,  0.8918331 ,  1.2215227 , -0.774743  ,
 -0.50210166, -0.9880189 ,  1.7119676 , -0.04150304,  2.8075516 ,
  0.9290042 ]"
Day 4_Y8-3-R.png,"[-0.9404248 ,  0.0109312 ,  0.9657273 , -0.5575899 , -0.09541363,
 -0.09486231,  0.24734199,  0.7990395 ,  0.10405242, -0.30234525,
  0.24790011, -0.65237224,  0.78741664, -0.08313724,  0.57554984,
  0.30790672]"
Day 10_A8-5-R.png,"[-0.07856418,  2.8181996 , -1.7678417 ,  2.7851703 ,  1.7999148 ,
  0.12938923, -1.0734885 , -0.5190226 , -2.4040656 , -1.1410415 ,
  1.8251927 ,  1.2593838 , -2.3692942 ,  0.06955662, -2.5209768 ,
 -0.11490856]"
Day 2_Y8-1-L.png,"[ 1.1110607 , -2.9790657 ,  1.3042545 , -2.0438864 , -2.4270978 ,
 -0.29720256,  1.2505032 , -0.30525428,  3.4701366 ,  2.446753  ,
 -2.9554243 , -1.2827035 ,  2.1715798 , -0.323099  ,  2.3078537 ,
 -0.51259196]"
Day 11_Y8-1-L.png,"[ 1.5218921 ,  2.7627387 , -3.2339323 ,  4.0222707 ,  1.2815998 ,
  0.03746105, -1.7012408 , -1.7551705 , -2.2955432 , -0.16351143,
  1.398272  ,  2.2715418 , -3.2344487 ,  0.2663444 , -3.3419964 ,
 -1.0785458 ]"
Day 0_Y8-2-L.png,"[ 0.10501619, -2.9153812 ,  2.24334   , -2.1402998 , -3.0923755 ,
 -0.59357554,  1.381566  ,  0.58071816,  3.8993936 ,  2.4903917 ,
 -2.8639612 , -2.174721  ,  3.2987247 , -0.39303654,  2.908888  ,
 -0.25252172]"
Day 13_Y8-2-L.png,"[ 1.9326533 ,  2.8065174 , -3.740665  ,  4.5170207 ,  0.93498796,
 -0.09663293, -1.8968099 , -2.0312715 , -2.0936346 ,  0.36356306,
  1.1852357 ,  2.3488688 , -3.3159614 ,  0.41084355, -3.5113838 ,
 -1.3211865 ]"
Day 9_A8-4-R.png,"[-1.4550589 ,  2.4579577 , -0.23011766,  1.0255945 ,  2.2625694 ,
  0.23178343, -0.48364055,  0.60840726, -2.6959732 , -2.0306976 ,
  2.1367543 ,  0.4006368 , -1.3156521 , -0.15029787, -1.6406935 ,
  1.0178971 ]"
Day 5_A8-3-L.png,"[-1.2105402 , -2.5562825 ,  1.8685888 , -5.1869864 ,  1.9815522 ,
  1.0563323 ,  0.88427866,  0.83188874, -0.47126335, -2.3244562 ,
  0.8747251 , -0.15005623,  0.8405538 ,  0.25977775,  2.3160286 ,
  0.94063485]"
Day 14_Y8-1-L.png,"[ 1.289333  ,  2.7736747 , -3.045841  ,  3.930411  ,  1.0382608 ,
 -0.02419146, -1.5540679 , -1.5844471 , -1.9697651 , -0.08623741,
  1.2803069 ,  2.0210679 , -3.132437  ,  0.3028634 , -3.1374986 ,
 -1.0688417 ]"
Day 2_A8-4-L.png,"[-0.21554776, -2.0410297 ,  1.6768107 , -2.5629234 , -0.34160322,
  0.17564896,  1.175924  ,  0.4413623 ,  1.9007597 ,  0.59170425,
 -1.2330112 , -1.0630682 ,  1.5892521 , -0.22265635,  1.8865137 ,
  0.4133674 ]"
Day 5_Y8-2-L.png,"[-0.87274504, -0.04298591,  0.2146114 , -1.8202705 ,  2.5268402 ,
  0.8669671 , -0.04020168,  0.2774819 , -1.3330793 , -1.9700831 ,
  1.4487636 ,  0.5875951 , -0.7431682 ,  0.09531298, -0.03807338,
  0.3457738 ]"
Day 1_Y8-3-R.png,"[-1.1009946 , -2.7988577 ,  3.1467674 , -3.0288458 , -2.2945652 ,
 -0.44997713,  1.4793669 ,  1.6414746 ,  3.0930054 ,  1.3478048 ,
 -1.9450142 , -2.414495  ,  3.6071038 , -0.19242512,  3.3786523 ,
  0.5381865 ]"
Day 15_A8-5-R.png,"[ 0.9120526 ,  3.0867293 , -2.9206178 ,  3.79204   ,  1.8908294 ,
  0.25506943, -1.5376974 , -1.5177665 , -2.4302802 , -0.6072465 ,
  1.7963501 ,  1.9557128 , -3.1946268 ,  0.02102906, -3.348905  ,
 -1.0041927 ]"
Day 12_Y8-3-R.png,"[ 1.0648322 ,  2.6969585 , -2.7344701 ,  3.553545  ,  1.4447495 ,
  0.0840583 , -1.5016278 , -1.460226  , -2.332032  , -0.40717927,
  1.5101931 ,  1.9402957 , -2.8847713 ,  0.18774351, -3.0392845 ,
 -0.7570037 ]"
