Mouse ID,Embedding
Day 15_A8-3-R.png,"[ 0.4637031 ,  2.660206  , -2.1653998 ,  2.9009159 ,  1.6112524 ,
  0.22375089, -1.2881464 , -0.9358647 , -2.2621553 , -0.76178336,
  1.7137715 ,  1.5272317 , -2.656382  ,  0.11039291, -2.612044  ,
 -0.7766077 ]"
Day 9_Y8-3-R.png,"[-0.8502671 ,  2.5986166 , -0.7999363 ,  1.7212383 ,  2.1624858 ,
  0.16306205, -0.6512038 ,  0.20769666, -2.668322  , -1.673344  ,
  2.012795  ,  0.7719252 , -1.6679586 , -0.12613036, -2.0618517 ,
  0.7601266 ]"
Day 0_A8-3-L.png,"[ 1.35789   , -4.690841  ,  2.3929675 , -3.0597003 , -4.37834   ,
 -0.6864876 ,  1.8921883 ,  0.02628213,  5.4745803 ,  3.7269447 ,
 -4.45049   , -2.319429  ,  4.099645  , -0.42237595,  3.957553  ,
 -0.4508535 ]"
Day 13_A8-3-L.png,"[-0.9207088 ,  1.8031445 , -0.37616974,  1.03259   ,  1.6603556 ,
  0.26851824, -0.42603713,  0.18562159, -1.5382092 , -1.2411706 ,
  1.4791873 ,  0.37335137, -1.1294389 , -0.13539842, -1.2522721 ,
  0.13585654]"
Day 9_Y8-1-R.png,"[-0.5027977 ,  3.3129184 , -1.6045121 ,  2.7355871 ,  2.4518783 ,
  0.15927093, -1.0345309 , -0.2785406 , -3.1543143 , -1.6896702 ,
  2.2967029 ,  1.2534249 , -2.5212233 , -0.10415322, -2.9103773 ,
  0.4904304 ]"
Day 8_A8-5-L.png,"[-1.532648  ,  1.8342164 ,  0.28242514,  0.3103991 ,  1.8287178 ,
  0.20597419, -0.23996904,  0.8521123 , -2.0217395 , -1.8369404 ,
  1.8259676 ,  0.03371052, -0.69397634, -0.10998277, -0.9420599 ,
  1.0079834 ]"
Day 3_A8-5-R.png,"[-1.6424183 , -0.15636116,  1.2591404 , -1.9469128 ,  1.3143699 ,
  0.47498566,  0.28739113,  1.1381633 , -0.6218789 , -1.7895488 ,
  1.1295227 , -0.36310008,  0.356559  ,  0.06256735,  0.98378587,
  0.98200023]"
Day 4_Y8-3-R.png,"[-1.0227133 ,  0.22381818,  0.79373354, -0.3771782 ,  0.19233401,
 -0.02443366,  0.17821091,  0.8120485 , -0.08499476, -0.43461433,
  0.3964769 , -0.5335699 ,  0.4949059 , -0.0795522 ,  0.35388488,
  0.25794777]"
Day 10_A8-5-R.png,"[ 0.10061441,  2.878636  , -2.0061073 ,  2.9993951 ,  1.7289855 ,
  0.1287308 , -1.1694018 , -0.6819806 , -2.3909657 , -1.0226607 ,
  1.7755349 ,  1.3831693 , -2.538486  ,  0.08079562, -2.6898992 ,
 -0.20129342]"
Day 2_Y8-1-L.png,"[ 0.16985732, -1.6978031 ,  0.90388787, -1.8142577 , -0.5515174 ,
  0.13930488,  0.7831359 ,  0.04933337,  1.5765061 ,  0.7311232 ,
 -1.1974033 , -0.6892525 ,  1.0369809 , -0.23612536,  1.3403121 ,
 -0.08165445]"
Day 11_Y8-1-L.png,"[ 1.6429367 ,  2.9983733 , -3.4803646 ,  4.3468685 ,  1.3544551 ,
  0.01465842, -1.807187  , -1.9006131 , -2.4804235 , -0.14095719,
  1.5066359 ,  2.4260967 , -3.4665375 ,  0.28090292, -3.6032403 ,
 -1.1138616 ]"
Day 14_A8-4-L.png,"[ 0.7472615 ,  3.0829754 , -2.876542  ,  3.6215332 ,  1.6542453 ,
  0.13005172, -1.505059  , -1.2075952 , -2.7043004 , -0.7763446 ,
  1.8674226 ,  1.8763758 , -3.222264  ,  0.1160256 , -3.2726119 ,
 -0.564404  ]"
Day 0_Y8-2-L.png,"[-0.53222734, -2.8505507 ,  2.0485096 , -2.8001475 , -1.8620988 ,
 -0.13153371,  1.0349537 ,  1.0153869 ,  2.4471996 ,  0.8345657 ,
 -1.7746882 , -1.4537216 ,  2.5599704 ,  0.06880769,  2.9852183 ,
  0.20517792]"
Day 7_A8-4-L.png,"[-1.6420342 ,  1.7657235 ,  0.36644468,  0.20413734,  1.8904452 ,
  0.24579558, -0.23280191,  1.0489861 , -2.1337862 , -2.0871286 ,
  1.9722893 ,  0.05214781, -0.62842864, -0.02435882, -0.8243903 ,
  1.0941099 ]"
Day 13_Y8-2-L.png,"[ 1.6317681 ,  2.6674008 , -3.401448  ,  4.18158   ,  0.9263173 ,
 -0.08855416, -1.7011151 , -1.7217345 , -1.9259164 ,  0.18968832,
  1.1590831 ,  2.073996  , -3.1395788 ,  0.3620088 , -3.2281516 ,
 -1.102982  ]"
Day 9_A8-4-R.png,"[-1.3912051 ,  2.5908604 , -0.32345244,  1.1807449 ,  2.3591647 ,
  0.2282564 , -0.5101433 ,  0.5323623 , -2.852291  , -2.014656  ,
  2.2034988 ,  0.48245046, -1.4205178 , -0.18051422, -1.8074921 ,
  1.0685239 ]"
Day 5_A8-3-L.png,"[-1.9290340e+00, -4.8236461e+00,  3.4801109e+00, -8.8180599e+00,
  1.6682462e+00,  1.3385726e+00,  1.7470288e+00,  1.5224550e+00,
 -7.6431613e-03, -3.2023609e+00,  6.7506665e-01, -8.9524782e-01,
  2.4663062e+00,  4.0849915e-01,  4.6995521e+00,  1.8707654e+00]"
Day 14_Y8-1-L.png,"[ 1.3224983 ,  2.7888792 , -3.1255262 ,  3.9642215 ,  1.1149447 ,
  0.01215224, -1.553031  , -1.5916513 , -2.100369  , -0.12275101,
  1.3269411 ,  2.0338128 , -3.1596682 ,  0.25482005, -3.226861  ,
 -1.0195415 ]"
Day 7_Y8-1-L.png,"[-0.8709807 ,  2.5779827 , -0.88589144,  1.6940161 ,  2.13663   ,
  0.22442141, -0.7092718 ,  0.11382677, -2.4427013 , -1.7333419 ,
  2.0395815 ,  0.68802947, -1.8462532 , -0.11571439, -2.0136693 ,
  0.60895187]"
Day 2_A8-4-L.png,"[-0.75634307, -1.2153714 ,  1.3526825 , -2.1526208 ,  0.5631916 ,
  0.3563517 ,  0.8046111 ,  0.6701049 ,  0.74433994, -0.42833397,
 -0.22261405, -0.7002157 ,  0.97209376, -0.15889591,  1.3330909 ,
  0.5529436 ]"
Day 11_A8-4-L.png,"[ 0.9119103 ,  2.5046253 , -2.4582357 ,  3.1403959 ,  1.1368091 ,
 -0.0234515 , -1.280227  , -1.1787605 , -2.043974  , -0.34547603,
  1.3132952 ,  1.7284536 , -2.5414174 ,  0.14427006, -2.7239068 ,
 -0.5504193 ]"
Day 5_Y8-2-L.png,"[-1.6263695 , -0.50548995,  1.0432272 , -3.1881678 ,  2.9104226 ,
  1.0718102 ,  0.29424962,  0.88131094, -1.4758956 , -2.621691  ,
  1.8106325 ,  0.2976491 , -0.17058125,  0.1408125 ,  0.7023929 ,
  0.9146583 ]"
Day 1_Y8-3-R.png,"[-0.8571088 , -0.06128763,  0.9879844 , -0.35319495, -0.13098699,
 -0.09169222,  0.31508762,  0.6447064 ,  0.50093466,  0.05138391,
 -0.02798519, -0.8023251 ,  0.79524577, -0.19728972,  0.58367985,
  0.22652367]"
Day 15_A8-5-R.png,"[ 1.0358417 ,  2.9815726 , -2.9406528 ,  3.8041584 ,  1.7098037 ,
  0.25285658, -1.5562432 , -1.6129756 , -2.330639  , -0.49199548,
  1.7164186 ,  1.9359499 , -3.2226088 ,  0.06424336, -3.292329  ,
 -1.1572022 ]"
Day 12_Y8-3-R.png,"[ 1.451671  ,  2.8207288 , -3.1897845 ,  4.012328  ,  1.3130187 ,
  0.03690208, -1.6762314 , -1.7814728 , -2.3474312 , -0.1493865 ,
  1.4594275 ,  2.1917737 , -3.1743314 ,  0.23980212, -3.328409  ,
 -1.0298687 ]"
Day 6_A8-5-R.png,"[-2.0029504 ,  0.4037971 ,  0.9084607 , -1.9533962 ,  2.5204215 ,
  0.74474853,  0.13658884,  0.92905426, -1.4927576 , -2.6534185 ,
  1.8910974 ,  0.08909813, -0.3991673 ,  0.01926456,  0.46972618,
  1.0241864 ]"
Day 12_Y8-1-R.png,"[ 1.7220112 ,  3.2267523 , -4.0960426 ,  4.8235598 ,  1.2251441 ,
  0.08932233, -1.9216274 , -2.046306  , -2.6115577 ,  0.05981509,
  1.6148762 ,  2.430329  , -3.851564  ,  0.22466996, -3.9755592 ,
 -1.4714885 ]"
Day 1_Y8-1-R.png,"[-1.1365715 ,  0.61929506,  0.8338355 , -0.40374053,  0.69840014,
 -0.00135461,  0.11116084,  0.7949338 , -0.5718924 , -1.0077161 ,
  0.88076454, -0.44009927,  0.2765651 , -0.03348976,  0.1426408 ,
  0.8148851 ]"
Day 8_A8-3-L.png,"[-1.4257891 ,  1.648527  ,  0.31572777,  0.29189956,  1.6849558 ,
  0.16619125, -0.16406813,  0.8619364 , -1.8290474 , -1.7286838 ,
  1.6635456 , -0.04180298, -0.5066723 , -0.11518401, -0.791998  ,
  1.050998  ]"
Day 10_Y8-2-R.png,"[-0.08084982,  3.6092572 , -2.1538541 ,  3.3799093 ,  2.441404  ,
  0.14143962, -1.2281921 , -0.7266252 , -3.2094898 , -1.4878113 ,
  2.2401965 ,  1.5139874 , -2.9310262 , -0.14556488, -3.380705  ,
  0.2440611 ]"
Day 4_A8-4-R.png,"[-3.2481983 , -2.4473352 ,  4.082229  , -4.9450083 , -0.01357083,
  0.25700507,  1.4528036 ,  2.6671076 ,  0.7644624 , -1.7877064 ,
  0.18403187, -2.237666  ,  3.5580258 ,  0.10379034,  4.088838  ,
  1.3961048 ]"
Day 3_Y8-2-R.png,"[-0.35169062, -2.2068272 ,  1.6272646 , -2.7752502 , -0.7174679 ,
  0.1372119 ,  0.9958087 ,  0.41175845,  1.8536448 ,  0.42185172,
 -1.1606877 , -1.028338  ,  1.5573893 , -0.1657739 ,  2.236475  ,
  0.2798177 ]"
Day 13_A8-5-L.png,"[ 0.773699  ,  2.4195578 , -2.3632283 ,  2.997541  ,  1.3290979 ,
  0.18062323, -1.2916842 , -1.1248721 , -1.9238331 , -0.4623541 ,
  1.4501002 ,  1.6007348 , -2.659061  ,  0.13965988, -2.5311744 ,
 -0.96518636]"
Day 7_Y8-3-L.png,"[-0.3102949 ,  3.0912058 , -1.8309642 ,  2.6830053 ,  2.1852655 ,
  0.242887  , -1.1538627 , -0.3756433 , -2.8631866 , -1.5807611 ,
  2.2177968 ,  1.2943035 , -2.5886607 ,  0.01870338, -2.7878115 ,
  0.06738031]"
Day 0_A8-5-L.png,"[ 3.1443052 , -6.4920645 ,  2.0739415 , -2.7050498 , -7.0823545 ,
 -1.2722905 ,  2.1260996 , -0.8850977 ,  7.771257  ,  6.359423  ,
 -6.9650116 , -2.6762602 ,  5.231418  , -0.49357978,  4.7241826 ,
 -1.5862176 ]"
