Mouse ID,Embedding
Day 11_A8-4-L.png,"[-0.29745913  2.8606312  -1.5316429   2.4706774   2.0761049   0.13803256
 -0.9490461  -0.4232096  -2.7290936  -1.362037    1.9535117   1.2797962
 -2.2440243  -0.05743314 -2.5549555   0.31541824]"
Day 5_Y8-2-L.png,"[-0.73079455  0.14540201 -0.01357327 -1.2885892   2.4998474   0.82569057
 -0.15677965  0.12271968 -1.3595436  -1.8316165   1.5298975   0.7778729
 -0.99954194  0.13019332 -0.3200593   0.18856181]"
Day 1_Y8-3-R.png,"[-0.92141867 -0.6176571   1.3936046  -0.9522402  -0.56830937 -0.1747503
  0.5466735   0.9060126   1.0057383   0.26939481 -0.3886597  -1.1315534
  1.3621974  -0.18038009  1.1709224   0.36774537]"
Day 15_A8-5-R.png,"[ 1.1595424   2.8556204  -3.0484464   3.6755583   1.5703433   0.23689193
 -1.5538237  -1.6170746  -2.2862816  -0.37383902  1.5993392   2.00328
 -3.153702    0.12128665 -3.226953   -1.1689429 ]"
Day 12_Y8-3-R.png,"[ 0.5414197   2.9106898  -2.3424156   3.279994    1.8023046   0.11667976
 -1.3510169  -1.0302341  -2.6196122  -0.84376186  1.8156505   1.7625748
 -2.7386358   0.08579546 -2.978147   -0.3797792 ]"
Day 6_A8-5-R.png,"[-1.5397209   0.92843384  0.2816076  -0.65660983  2.1940916   0.5766002
 -0.06973094  0.69445646 -1.5136082  -2.063689    1.7501262   0.19986854
 -0.6969813  -0.05052437 -0.27133742  0.6388399 ]"
Day 12_Y8-1-R.png,"[ 1.5258726   3.5063908  -4.051427    5.010579    1.3136469   0.07814926
 -1.957417   -2.0502563  -2.8113558  -0.11734127  1.791141    2.4545932
 -3.9850595   0.23275635 -4.106058   -1.33014   ]"
Day 1_Y8-1-R.png,"[-1.3894706   0.7216749   0.8042898  -0.41644078  0.9847401   0.12830082
  0.07972173  0.89216477 -0.82697016 -1.2892833   1.0668018  -0.40746462
  0.14087556 -0.03497214  0.10800043  0.70809686]"
Day 8_A8-3-L.png,"[-1.5188553   1.7674326   0.3429933   0.29141274  1.7073233   0.18017672
 -0.20375928  0.85302836 -1.940033   -1.8434135   1.8050826  -0.0537173
 -0.5610346  -0.11047043 -0.8175594   1.0350885 ]"
Day 10_Y8-2-R.png,"[ 0.80328834  2.222599   -2.1173959   2.8594463   1.1861111   0.05505566
 -1.0815501  -1.0912585  -1.7695273  -0.31221962  1.0822613   1.428355
 -2.3182378   0.02007399 -2.462248   -0.5009789 ]"
Day 4_A8-4-R.png,"[-2.77022    -1.8102942   3.212865   -3.9597056   0.09787288  0.24706116
  1.1081907   2.1298075   0.48610196 -1.6095918   0.2949273  -1.7394881
  2.7749982   0.08684632  3.2502596   1.1624175 ]"
Day 3_Y8-2-R.png,"[-0.05049392 -2.7902248   1.7442607  -3.2609649  -1.1737373   0.11581357
  1.1252501   0.31359372  2.2393222   0.6623623  -1.6304928  -1.1437727
  1.8856215  -0.17578985  2.6023953   0.28282854]"
